request_id,RequestID,Tangible,ContactName,ManufacturerName,Product Line,Vendor,Weight,Length,Width,Height,COO,MFgPartNum,MFgPartNum1,MFgPartNum2,MFgPartNum3,MFgPartNum4,MFgPartNum5,MFgPartNum6,MFgPartNum7,MFgPartNum8,MFgPartNum9,MFgPartNum10
1692089.0,,,,,,,,,,,,,,,,,,,,,,
1692104.0,,,,,,,,,,,,,,,,,,,,,,
1692113.0,,,,,,,,,,,,,,,,,,,,,,
1692114.0,,,,,,,,,,,,,,,,,,,,,,
1692135.0,,,,,,,,,,,,,,,,,,,,,,
1692142.0,,,,,,,,,,,,,,,,,,,,,,
1692155.0,,,,,,,,,,,,,,,,,,,,,,
1692156.0,,,,,,,,,,,,,,,,,,,,,,
1692157.0,,,,,,,,,,,,,,,,,,,,,,
1692163.0,,,,,,,,,,,,,,,,,,,,,,
1692164.0,,,,,,,,,,,,,,,,,,,,,,
1692165.0,,,,,,,,,,,,,,,,,,,,,,
1692166.0,,,,,,,,,,,,,,,,,,,,,,
1692167.0,,,,,,,,,,,,,,,,,,,,,,
1692168.0,,,,,,,,,,,,,,,,,,,,,,
,1692089,y,Angelique Sedillo,vivitar,8W,F21522,0.34 kg,193.04 mm,167.6 mm,55.9 mm,china,VS048,None,None,None,None,None,None,None,None,None,None
,1692104,,Angelique Sedillo,KENSINGTON,8W,000040,0.18 kg,1828.8 mm,12.7 mm,12.7 mm,,None,None,None,None,None,None,None,None,None,None,None
,1692113,y,Angelique Sedillo,Tapplock,8W,F21522,453592 kg,127 mm,50.8 mm,50.8 mm,china,6521245,None,None,None,None,None,None,None,None,None,None
,1692114,y,Angelique Sedillo,element 14,8W,F21522,0.19 kg,154.94 mm,114.3 mm,78.74 mm,china,62545471,None,None,None,None,None,None,None,None,None,None
,1692135,y,Angelique Sedillo,accessory power,8W,000791,,,,,, ENPCSB2100BLWS,None,None,None,None,None,None,None,None,None,None
,1692142,,Angelique Sedillo,Sennheiser,8W,F21522,,,,,,None,None,None,None,None,None,None,None,None,None,None
,1692155,n,Kay Bair,cradlepoint,8W,000791,,,,,usa,TA1-NCESS-R,None,None,None,None,None,None,None,None,None,None
,1692156,y,Angelique Sedillo,APG,UT,875270,,,,,,JB320-1-BL1820-P-K9-CITITR,PK-15-VTAP-BX-CITITR,PK-8K-A9-CITITR,None,None,None,None,None,None,None,None
,1692157,y,Angelique Sedillo,Viewsonic,8W,000791,,,,,,VA2456-MHD-AFK,VA2446MH-LED-AFK,None,None,None,None,None,None,None,None,None
,1692163,y,Emmanuel Magallanes,Cyber Acoustics,8W,000040,,,,,,CA-2880,None,None,None,None,None,None,None,None,None,None
,1692164,y,Emmanuel Magallanes,Cyber Acoustics,8W,000040,,,,,,CA-2016WB,None,None,None,None,None,None,None,None,None,None
,1692165,Y,ROLAND VASQUEZ,Plantronics,8W,000040,,,,,,92355-11,89434-01,None,None,None,None,None,None,None,None,None
,1692166,Y,Kevin Cravey,Apple,FD,000040,,,,,,MQ6K2LL/A,MQ8D2LL/A,None,None,None,None,None,None,None,None,None
,1692167,Y,ROLAND VASQUEZ,Cables to Go,8W,002007,,,,,,54322-Army,None,None,None,None,None,None,None,None,None,None
,1692168,y,Emmanuel Magallanes,SENNHEISER,8W,000040,,,,,,504409,504558,508329,None,None,None,None,None,None,None,None
